Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:74irxdVWstNlEQjsvArITq,"Crazy","Get A Grip","Aerosmith",1993-01-01,316693,4,false,,1970-01-01T00:00:00Z,"classic rock,rock","Aerosmith P&D - Geffen",0.37,0.866,6,-3.879,0,0.0384,0.0868,0,0.137,0.427,162.086,3
spotify:track:7floNISpH8VF4z4459Qo18,"Look At Me!","Look At Me!","XXXTENTACION",2017-02-20,126345,79,true,,1970-01-01T00:00:00Z,"emo rap","Bad Vibes Forever / EMPIRE",0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4
spotify:track:3HEixA394ifNLWASwxhETf,"Shaky Hands","Shaky Hands","Qawi Kamri;guardin",2018-03-15,218333,18,true,,1970-01-01T00:00:00Z,"emo rap","751845 Records DK",0.784,0.459,2,-6.026,0,0.0355,0.588,0,0.0541,0.441,107.961,4
spotify:track:5rPTxy0y6WladImWO9vZdw,"LML","Effortless","Forrest.",2020-08-21,196224,0,false,,1970-01-01T00:00:00Z,"","Forrest.",0.889,0.465,1,-7.064,0,0.115,0.185,0.0165,0.0795,0.706,139.971,4
spotify:track:7L3eXnQsoCvRZinLJJ4slV,"basement","basement","halberd;love-sadKID;Atwood;afternoon",2017-07-31,161447,33,true,,1970-01-01T00:00:00Z,"lo-fi,lo-fi beats,lo-fi hip hop","Repost Network",0.562,0.752,0,-5.034,0,0.299,0.757,0.0000131,0.213,0.781,79.612,4
spotify:track:23wfXwnsPZYe5A1xXRHb3J,"The Way I Am","The Marshall Mathers LP","Eminem",2000-05-23,290426,76,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248,4
spotify:track:2EEeOnHehOozLq4aS0n6SL,"iSpy (feat. Lil Yachty)","iSpy (feat. Lil Yachty)","KYLE;Lil Yachty",2016-12-02,253106,70,true,,1970-01-01T00:00:00Z,"","independently popular.",0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,4
spotify:track:5ApbORzPT3NVryIcj5wJUq,"shadow","outsider","guardin",2018-03-18,154497,32,false,,1970-01-01T00:00:00Z,"emo rap","Repost Network",0.248,0.697,4,-3.789,1,0.0491,0.24,0,0.124,0.0644,175.391,1
spotify:track:2IPKXJWPjC5AdDtOxTDkqA,"Something More","Something More","love-sadKID;Frith;paper latte",2017-05-12,164033,0,false,,1970-01-01T00:00:00Z,"art rock,avant-garde,free jazz","Love-Sadkid",0.685,0.685,10,-5.719,0,0.13,0.123,0.0000544,0.0705,0.46,83.005,4
spotify:track:5MMLS3xm12D7N26xlfFApr,"Runaway Baby","Doo-Wops & Hooligans","Bruno Mars",2010-05-11,148448,77,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.658,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.823,163.864,4
